"ID","quantity","glassWidth","glassLength","glassType","location",
"247","1","32","32","248","12",
"248","1","24","24","198","13",
"249","1","32","17","248","12",
"250","1","32","42","254","12",
"251","1","32","42","254","12",
"252","1","23","32","254","12",
"253","1","22","24","254","12",
"254","1","32",,"255","12",
"255","1","32","42","255","12",
"256","1","32","39","256","12",
"257","1","26","39","256","12",
"258","1","28","40","256","12",
"259","1","15",,"257","12",
"260","1","15","29","257","12",
"261","1","21",,"258","12",
"262","1","21","31","258","12",
"263","1","13","17","295","13",
"264","1","24","24","202","13",
"265","1","20","18","285","13",
"266","1","16","16","274","13",
"267","1","20","16","200","13",
"268","1","8","14","274","13",
"269","1","24","24","284","13",
"270","1","24","16","251","13",
"272","5","23","22","328","34",
"273","9","23","18","328","34",
"274","2","23","12","328","34",
"275","3","24","48","12","35",
"276","5","24","48","3","3",
"277","4","24","48","20","1",
"279","1","24","48","1","7",
"280","1","20","48","1","7",
"281","1","24","33","1","7",
"282","1","12","14","312","25",
"283","1","24","28","1","7",
"284","1","24","36","20","1",
"285","1","24","16","20","1",
"286","1","12","40","20","1",
"287","4","24","36","24","29",
"717","1","9","9","208","38",
"584","1","13","14","73","17",
"290","1","13","10","376","37",
"291","1","9","13","377","37",
"292","1","14","17","377","37",
"293","1","10","12","147","37",
"294","1","12","32","384","37",
"295","1","14","22","395","22",
"296","1","22","48","414","21",
"297","1","20","17","414","21",
"298","1","21","24","249","21",
"299","1","24","47","401","21",
"300","1","24","40","297","21",
"301","1","24","42","402","21",
"302","1","18","41","298","21",
"303","1","16","7","298","21",
"304","1","12","18","298","21",
"305","1","24","39","387","21",
"306","1","16","35","387","21",
"307","1","21","18","387","21",
"308","1","24","27","406","21",
"309","1","24","18","348","21",
"310","1","24","40","351","21",
"311","1","24","24","351","21",
"312","1","24","27","298","21",
"313","1","22","22","298","21",
"314","1","24","20","298","21",
"315","1","24","19","298","21",
"316","1","16","20","298","21",
"317","1","22","20","314","21",
"318","1","16","18","402","21",
"319","1","24","24","403","21",
"320","1","24","22","400","21",
"321","1","10","14","413","21",
"322","1","19","19","407","21",
"323","1","9","18","408","21",
"324","1","11","32","361","21",
"325","1","20","32","360","21",
"326","1","20","26","362","21",
"327","1","20","25","363","21",
"328","1","6","32","378","21",
"329","1","21","23","385","21",
"330","1","11","16","434","21",
"331","1","19","18","394","21",
"332","1","19","17","394","21",
"333","1","19","12","394","21",
"334","1","16","24","404","21",
"335","1","10","24","144","21",
"336","1","21","21","364","21",
"337","1","15","18","350","21",
"338","1","7","22","385","21",
"339","1","22","19","408","21",
"340","1","24","24","249","21",
"341","1","11","11","407","21",
"342","1","21","19","396","21",
"343","1","22","48","273","23",
"344","1","20","48","312","23",
"345","1","15","33","312","23",
"346","1","23","48","341","23",
"347","1","13","22","265","23",
"348","1","14","16","265","23",
"349","1","20","20","265","23",
"350","1","14","24","266","23",
"351","1","20","19","340","23",
"352","1","24","18","340","23",
"353","1","10","15","340","23",
"354","1","15","7","340","23",
"355","1","18","24","346","23",
"356","1","20","24","346","23",
"357","1","24","20","346","23",
"358","1","11","24","346","23",
"359","1","7","18","346","23",
"360","1","13","18","259","23",
"361","1","24","23","270","23",
"362","1","19","15","270","23",
"363","1","21","18","275","23",
"364","1","24","19","275","23",
"365","1","24","24","275","23",
"366","1","17","24","275","23",
"367","1","15","18","106","16",
"368","1","21","23","50","18",
"369","1","15","21","102","16",
"370","1","20","24","97","16",
"371","1","24","24","97","16",
"372","1","11","8","200","14",
"373","3","24","22","172","25",
"374","1","20","27","426","25",
"375","1","24","23","185","25",
"376","1","6","24","319","25",
"377","1","10","24","319","25",
"378","1","17","17","314","25",
"379","1","17","15","314","25",
"380","1","18","13","316","25",
"381","1","6","35","316","25",
"382","1","24","24","313","25",
"383","1","17","17","319","25",
"384","1","21","35","366","25",
"385","1","24","34","325","25",
"386","1","19","38","325","25",
