"ID","symbol","color","description","manufacturer","glassImage",
"129","br steel","blue","steel blue / clear baroque","Spectrum","[object Image]",
"130","i130-8sf","blue","pale blue solid transparent iridescent","Spectrum","[object Image]",
"131","i136sf","blue","dark blue solid transparent iridescent","Spectrum","[object Image]",
"132","i337-1s","blue","pale blue / white iridescent","Spectrum","[object Image]",
"133","i339-6s","blue","dark blue / white wispy iridescent","Spectrum","[object Image]",
"134","i833-91s","blue","sky blue / white wispy iridescent","Spectrum","[object Image]",
"135","oa233-54sf","blue","alpine deep aqua ""Cascadia""","Spectrum","[object Image]",
"136","oa335-5sf","blue","crystal opal / MarinerBlue ""Nautica""","Spectrum","[object Image]",
"137","oa634-52sf","blue","crystal opal / Deep aqua / concord ""Blackberry Cream""","Spectrum","[object Image]",
"138","sc/130.8w","blue","silverCoat ""BlueMoon""","Spectrum","[object Image]",
"139","spirit431-76sf","blue","Crystal clear / ivory / cobalt blue ""Vienna""","Spectrum","[object Image]",
"140","spirit4361-76sf","blue","crystal clear / ivory / yellow / blue ""Atlantis""","Spectrum","[object Image]",
"141","spirit6356-7sf","blue","crystal opal / blue / sunflower / red ""NewOrleans""","Spectrum","[object Image]",
"142","ko701","blue","blue gray cathedral","Spectrum",,
"143","ko624g","blue","Lighter wedgwood blue granite","Spectrum",,
"144","6093-86cc","pink","clear / white / indigo / pink ""Indigo-Pink""","Spectrum","[object Image]",
"145","518-1sf","bronze","Bronze transparent","Spectrum","[object Image]",
"146","blue GC","blue","Blue glue chip","Spectrum","[object Image]",
"147","518-1rr","bronze","bronze rough rolled","Spectrum","[object Image]",
"148","518-1w","bronze","bronze waterglass","Spectrum","[object Image]",
"149","518-2sf","bronze","antique bronze transparent","Spectrum","[object Image]",
"150","818-91s","bronze","bronze / white wispy","Spectrum","[object Image]",
"151","327-8","","","Spectrum",,
"152","828-94s","green","olive green / white wispy","Spectrum","[object Image]",
"153","826-92s","green","moss green / white","Spectrum","[object Image]",
"154","be2105","blue","blue opal plum","bullseye","[object Image]",
"155","be2108","blue","powder blue opal","bullseye","[object Image]",
"156","523-2w","green","teal green waterglass","Spectrum","[object Image]",
"157","523-8sf","green","hunter green solid transparent","Spectrum","[object Image]",
"158","523-8w","green","Hunter green waterglass","Spectrum","[object Image]",
"159","526-2w","green","moss green water glass","Spectrum","[object Image]",
"160","528.1w","green","sea green water glass","Spectrum","[object Image]",
"161","6043-86cc","purple","clear / white / grape / aqua ""Purple Haze""","Spectrum","[object Image]",
"162","411-15c","amber","brown / gold streaky cord","Spectrum","[object Image]",
"163","411-15g","amber","brown / gold streaky granite","Spectrum","[object Image]",
"164","411-15s","amber","brown / gold streaky","Spectrum","[object Image]",
"165","6011-85cc","amber","clear / white / reddish brown ""Hawkwings""","Spectrum","[object Image]",
"166","110.8sf","amber","medium amber transparent","Spectrum","[object Image]",
"167","110.8a","amber","medium amber artique","Spectrum","[object Image]",
"168","110.8rr","amber","medium amber rough rolled","Spectrum","[object Image]",
"169","110.8w","amber","medium amber waterglass","Spectrum","[object Image]",
"170","526-2sf","green","moss green solid transparent","Spectrum","[object Image]",
"171","223-72sf","green","turquoise green solid opalescent","Spectrum","[object Image]",
"172","200s","white","white solid opalescent","Spectrum","[object Image]",
"173","4927","amber","coronation gold cathedral","Spectrum",,
"174","305s","white","white / clear","Spectrum","[object Image]",
"175","110.2rr","amber","pale amber rough rolled","spectrum","[object Image]",
"176","110.2s","amber","pale amber solid transparent","spectrum","[object Image]",
"177","110.2sf","amber","pale amber transparent","spectrum","[object Image]",
"178","110.2v","amber","pale amber vecchio","spectrum","[object Image]",
"179","110.2w","amber","pale amber waterglass","spectrum","[object Image]",
"180","110.4sf","amber","light amber transparent","spectrum","[object Image]",
"181","307s","white","clear / white","spectrum","[object Image]",
"182","111rr","amber","dark amber rough rolled","spectrum","[object Image]",
"183","111sf","amber","dark amber transparent","spectrum","[object Image]",
"184","111w","amber","dark amber waterglass","spectrum","[object Image]",
"185","201-61s","amber","ivory / clear","spectrum","[object Image]",
"186","210-72sf","amber","almond solid opalescent","spectrum","[object Image]",
"187","211-74sf","amber","chestnut brown opal","spectrum","[object Image]",
"188","211-76sf","amber","chocolate opal","spectrum","[object Image]",
"189","215-72sf","amber","terra cotta","spectrum","[object Image]",
"190","315-02s","amber","white / pale amber","spectrum","[object Image]",
"191","315-1g","amber","white / light amber granite","spectrum","[object Image]",
"192","315-1s","amber","white / light amber","spectrum","[object Image]",
"193","315-2s","amber","white / medium amber","spectrum","[object Image]",
"194","315-6s","amber","white / dark amber","spectrum","[object Image]",
"195","317-02s","amber","pale amber / white","spectrum","[object Image]",
"196","317-1s","amber","light amber / white","spectrum","[object Image]",
"197","317-2s","amber","medium amber / white","spectrum","[object Image]",
"198","317-6s","amber","dark amber / white","spectrum","[object Image]",
"199","318-05s","amber","light amber / white","spectrum","[object Image]",
"200","319-02s","amber","pale amber / white wispy","spectrum","[object Image]",
"201","319-1s","amber","light amber / white wispy","spectrum","[object Image]",
"202","319-6s","amber","light amber / white wispy","spectrum","[object Image]",
"203","1009avsf","black","black aventruine","spectrum","[object Image]",
"204","1009csf","black","black cord","spectrum","[object Image]",
"205","1009s","black","black solid opalescent","spectrum","[object Image]",
"206","1009sf","black","black solid opalescent","spectrum","[object Image]",
"207","1009sfl","black","black solid opalescent thin","spectrum","[object Image]",
"208","1009w","black","black waterglass","spectrum","[object Image]",
"209","4000-9sf","black","black / clear wispy","spectrum","[object Image]",
"210","6009-8cc","black","clear / white / black ""Thunderhead""","spectrum","[object Image]",
"211","br400","black","black / clear baroque","spectrum","[object Image]",
"212","br6000","black","black / white / clear baroque","spectrum","[object Image]",
"213","128avsf","green","dark green aventurine","spectrum","[object Image]",
"214","170.2sf","orange","tangerine solid transparent","spectrum","[object Image]",
"215","220-76sf","green","dark green solid opalescent","spectrum","[object Image]",
